Product_ID,Product_Name,Category,Sub_Category,Brand,Supplier_ID,Unit_Cost,Selling_Price
P1001,Clip Folder 500,Stationery,Files,Parker,S020,37170,47360
P1002,Exercise Bike 116,Sports,Fitness,Cosco,S004,49761,65740
P1003,Microwave 705,Home & Kitchen,Appliances,Pigeon,S063,38429,44200
P1004,Monopoly 509,Toys,Board Games,Mattel,S069,35666,47920
P1005,Bunk Bed 793,Furniture,Bed,Durian,S078,28068,38330
P1006,Puzzle Set 655,Toys,Educational,Mattel,S096,14729,19440
P1007,Crayons 807,Stationery,Art Supplies,Parker,S050,16881,21930
P1008,Pressure Cooker 513,Home & Kitchen,Cookware,Milton,S083,44753,62340
P1009,Formal Shoes 107,Sports,Footwear,Adidas,S072,4235,5740
P1010,Broom 217,Home & Kitchen,Cleaning,Bajaj,S028,5114,6310
P1011,Kids Shorts 512,Apparel,Kidswear,Nike,S085,23830,34260
P1012,Scissors 457,Stationery,Office Supplies,Classmate,S006,46476,63310
P1013,Recliner 814,Furniture,Chair,Urban Ladder,S060,39439,57040
P1014,Belt 470,Apparel,Accessories,H&M,S095,35419,51050
P1015,Vacuum Cleaner 873,Home & Kitchen,Cleaning,Philips,S066,32071,45720
P1016,Sticky Notes 268,Stationery,Office Supplies,Camlin,S094,6689,9210
P1017,Butter 446,Groceries,Dairy,Nestle,S006,19941,26580
P1018,Rice 779,Groceries,Staples,Parle,S054,4816,5790
P1019,Camera Bag 211,Electronics,Camera,HP,S079,45501,59740
P1020,Speaker 388,Electronics,Audio,HP,S065,45062,62170
P1021,Feature Phone 775,Electronics,Mobile,Lenovo,S089,15522,20280
P1022,Action Camera 629,Electronics,Camera,Sony,S047,17611,24840
P1023,A4 Sheets 799,Stationery,Paper,Faber-Castell,S069,19081,22570
P1024,Water Colors 563,Stationery,Art Supplies,Parker,S042,53363,67470
P1025,Ball Pen 872,Stationery,Writing,Parker,S088,29337,38190
P1026,Microphone 888,Electronics,Audio,HP,S012,45736,58530
P1027,Lens 976,Electronics,Camera,Lenovo,S026,26957,31880
P1028,Watch 209,Apparel,Accessories,Puma,S010,41906,50120
P1029,Curtains 631,Home & Kitchen,Decor,Prestige,S071,31723,44450
P1030,Women's Top 202,Apparel,Womenswear,Adidas,S024,16752,21700
P1031,Cheese 305,Groceries,Dairy,ITC,S032,52584,61240
P1032,Recliner 369,Furniture,Chair,Ikea,S084,42551,49140
P1033,Yoga Mat 680,Sports,Fitness,Yonex,S037,46171,59650
P1034,Sports Shoes 487,Apparel,Footwear,H&M,S015,56891,68230
P1035,Belt 877,Electronics,Accessories,Dell,S003,14963,20370
P1036,Sunglasses 368,Sports,Accessories,Puma,S023,5539,7690
P1037,Chess Set 654,Toys,Board Games,Lego,S092,34957,42590
P1038,Mouse 786,Electronics,Computer,Apple,S055,19603,26030
P1039,Frozen Peas 981,Groceries,Frozen,Tata,S100,26174,31310
P1040,Crayons 320,Stationery,Art Supplies,Reynolds,S022,14118,17520
P1041,Backpack 759,Sports,Outdoor,Nivia,S036,23938,33910
P1042,Box File 176,Stationery,Files,Camlin,S017,23625,31030
P1043,Wheat Flour 588,Groceries,Staples,Britannia,S040,21065,29820
P1044,Sneakers 472,Apparel,Footwear,Adidas,S057,44552,54250
P1045,Tent 961,Sports,Outdoor,Puma,S081,35579,44440
P1046,Three Seater Sofa 795,Furniture,Sofa,Godrej,S037,28480,36780
P1047,Cabinet 933,Furniture,Storage,Godrej,S078,6807,8810
P1048,Curtains 864,Home & Kitchen,Decor,Bajaj,S063,34265,49660
P1049,Sneakers 469,Sports,Footwear,Adidas,S030,10542,12490
P1050,DSLR Camera 759,Electronics,Camera,Lenovo,S092,18883,26540
P1051,Pressure Cooker 127,Home & Kitchen,Cookware,Prestige,S044,24923,35120
P1052,Women's Dress 601,Apparel,Womenswear,Puma,S016,8520,11210
P1053,Microwave 142,Home & Kitchen,Appliances,Pigeon,S097,23399,29320
P1054,3D Puzzle 751,Toys,Puzzles,Hasbro,S092,16052,20960
P1055,Camera Bag 969,Electronics,Camera,HP,S005,50993,63120
P1056,Robot Toy 712,Toys,Action Figures,Lego,S091,51587,71690
P1057,Rice 855,Groceries,Staples,Parle,S095,323,420
P1058,Notebook 310,Stationery,Paper,Reynolds,S083,36164,51630
P1059,Chocolate 993,Groceries,Snacks,Amul,S026,38451,51400
P1060,Kids T-Shirt 595,Apparel,Kidswear,Zara,S064,22710,29620
P1061,Document Folder 706,Stationery,Files,Faber-Castell,S054,28173,38410
P1062,Cricket Bat 792,Sports,Team Sports,Yonex,S063,47404,61680
P1063,Recliner 674,Furniture,Chair,Durian,S062,22708,32280
P1064,Sports Shoes 385,Sports,Footwear,Cosco,S064,3914,4720
P1065,Water Colors 649,Stationery,Art Supplies,Parker,S052,22381,32270
P1066,Cheese 687,Groceries,Dairy,Britannia,S070,15270,21280
P1067,Camping Chair 870,Toys,Outdoor,Funskool,S053,22994,32380
P1068,Watch 532,Sports,Accessories,Nike,S002,13844,17930
P1069,Women's Jeans 551,Apparel,Womenswear,Puma,S004,9034,12660
P1070,Earbuds 552,Electronics,Audio,Samsung,S096,59122,73430
P1071,Dumbbells 202,Sports,Fitness,Puma,S091,7775,10720
P1072,Double Bed 180,Furniture,Bed,Nilkamal,S059,42380,50520
P1073,Drawing Book 118,Stationery,Art Supplies,Reynolds,S018,43068,53500
P1074,Microwave 698,Home & Kitchen,Appliances,Philips,S079,37086,47610
P1075,Sugar 476,Groceries,Staples,Nestle,S015,54691,68180
P1076,Cabinet 878,Furniture,Storage,Godrej,S038,348,440
P1077,Football 731,Sports,Team Sports,Nivia,S033,18132,25310
P1078,Wardrobe 227,Furniture,Storage,Durian,S002,11099,13620
P1079,Chocolate 189,Groceries,Snacks,Parle,S081,34636,47580
P1080,Pencil 429,Stationery,Writing,Faber-Castell,S051,38150,44720
P1081,Jigsaw Puzzle 927,Toys,Puzzles,Hot Wheels,S032,53879,74340
P1082,Learning Kit 143,Toys,Educational,Hasbro,S051,22814,31660
P1083,Superhero Figure 268,Toys,Action Figures,Mattel,S001,14192,18030
P1084,Broom 126,Home & Kitchen,Cleaning,Pigeon,S044,55460,75800
P1085,Bar Stool 471,Furniture,Chair,Urban Ladder,S052,40395,57540
P1086,Chart Paper 989,Stationery,Paper,Faber-Castell,S034,45895,63800
P1087,Notebook 714,Stationery,Paper,Camlin,S084,26726,33870
P1088,Camping Chair 543,Toys,Outdoor,Mattel,S025,26870,34800
P1089,Sleeping Bag 229,Sports,Outdoor,Adidas,S014,23373,32340
P1090,Office Chair 419,Furniture,Chair,Ikea,S053,44983,55680
P1091,Wardrobe 571,Home & Kitchen,Storage,Prestige,S089,12676,17630
P1092,Chocolate 347,Groceries,Snacks,Nestle,S038,58525,73060
