Return_ID,Order_ID,Product_ID,Return_Date,Return_Quantity,Return_Reason,Refund_Amount
R10001,SO58872,P1049,20-Jan-2025,2,Quality Issue,24980
R10002,SO55937,P1395,21-Apr-2025,12,Size Issue,595200
R10003,SO40297,P1018,18-May-2025,1,Wrong Item,5790
R10004,SO43513,P1141,28-May-2025,9,Defective,211230
R10005,SO51061,P1434,06-Aug-2025,4,Wrong Item,99000
R10006,SO42477,P1291,30-May-2025,7,Damaged,207550
R10007,SO62855,P1125,26-Sep-2025,2,Damaged,22600
R10008,SO21250,P1172,26-Jul-2025,7,Wrong Item,177450
R10009,SO30276,P1848,16-Sep-2025,8,Wrong Item,273440
R10010,SO54064,P1787,11-Jun-2025,9,Late Delivery,499230
R10011,SO68283,P1939,28-Aug-2025,7,Quality Issue,413140
R10012,SO62801,P1273,18-Jan-2025,7,Quality Issue,325080
R10013,SO60300,P1041,02-Nov-2025,1,Size Issue,33910
R10014,SO29514,P1193,27-Jun-2025,2,Size Issue,37540
R10015,SO37388,P1455,15-Dec-2025,13,Not Required,425750
R10016,SO44405,P1975,14-Jun-2025,4,Late Delivery,95440
R10017,SO52680,P1108,10-Jun-2025,1,Quality Issue,57500
R10018,SO69176,P1930,13-Oct-2025,9,Damaged,470340
R10019,SO16236,P1838,03-May-2025,5,Size Issue,20150
R10020,SO22946,P1900,24-Jun-2025,1,Damaged,68220
R10021,SO31043,P1820,20-Mar-2025,4,Wrong Item,30920
R10022,SO15225,P1458,26-Sep-2025,1,Size Issue,55790
R10023,SO22349,P1929,13-Aug-2025,5,Defective,267800
R10024,SO27376,P1805,30-Jun-2025,2,Not Required,61020
R10025,SO13092,P1475,02-Jan-2026,11,Wrong Item,187550
R10026,SO47527,P1504,06-Dec-2025,1,Not Required,40580
R10027,SO34917,P1792,28-Apr-2025,3,Size Issue,195150
R10028,SO61158,P1106,01-Mar-2025,3,Defective,134430
R10029,SO41543,P1220,02-Feb-2025,1,Defective,72730
R10030,SO32038,P1287,04-Mar-2025,1,Size Issue,6150
R10031,SO36802,P1342,13-May-2025,1,Late Delivery,79490
R10032,SO19799,P1753,21-May-2025,2,Damaged,88580
R10033,SO32409,P1045,28-May-2025,2,Quality Issue,88880
R10034,SO69012,P1249,01-May-2025,2,Quality Issue,9440
R10035,SO17439,P1680,12-Oct-2025,10,Late Delivery,443900
R10036,SO21251,P1753,09-Mar-2025,4,Defective,177160
R10037,SO21941,P1234,28-Sep-2025,6,Not Required,76320
R10038,SO18072,P1293,08-Nov-2025,3,Late Delivery,7230
R10039,SO19859,P1821,25-Nov-2025,11,Quality Issue,727760
R10040,SO56150,P1373,13-Mar-2025,17,Late Delivery,1133900
R10041,SO62119,P1168,08-Apr-2025,4,Not Required,222800
R10042,SO22605,P1519,03-Mar-2025,1,Quality Issue,13800
R10043,SO44655,P1039,04-Apr-2025,6,Defective,187860
R10044,SO32820,P1717,16-Dec-2025,4,Size Issue,183440
R10045,SO52474,P1495,05-Sep-2025,9,Damaged,186120
R10046,SO24868,P1760,16-May-2025,4,Size Issue,282560
