Shipment_ID,Order_ID,Warehouse_ID,Shipment_Date,Delivery_Date,Shipping_Mode,Shipping_Cost,Delivery_Status
SH10001,SO10001,W013,25-Jul-2025,31-Jul-2025,Road,2485,Delivered
SH10002,SO10002,W014,30-Jan-2025,02-Feb-2025,Road,3910,Delivered
SH10003,SO10003,W006,01-Aug-2025,04-Aug-2025,Road,1779,Delivered
SH10004,SO10004,W004,02-May-2025,08-May-2025,Sea,7134,Delivered
SH10005,SO10005,W002,25-Sep-2025,26-Sep-2025,Road,1119,In Transit
SH10006,SO10006,W010,09-Feb-2025,16-Feb-2025,Road,5944,Delivered
SH10007,SO10007,W015,18-Apr-2025,21-Apr-2025,Road,7708,Delivered
SH10008,SO10008,W019,09-Dec-2025,13-Dec-2025,Road,7469,Delivered
SH10009,SO10009,W008,29-Jul-2025,07-Aug-2025,Road,5930,Delivered
SH10010,SO10010,W007,18-Feb-2025,22-Feb-2025,Road,7897,Cancelled
SH10011,SO10011,W011,12-Mar-2025,15-Mar-2025,Air,5903,Delivered
SH10012,SO10012,W012,06-Apr-2025,11-Apr-2025,Road,3125,Delivered
SH10013,SO10013,W007,04-Mar-2025,13-Mar-2025,Sea,4793,Delivered
SH10014,SO10014,W009,06-Oct-2025,13-Oct-2025,Air,5169,Delivered
SH10015,SO10015,W003,25-Mar-2025,27-Mar-2025,Rail,353,Delivered
SH10016,SO10016,W011,14-Oct-2025,16-Oct-2025,Road,7550,Delivered
SH10017,SO10017,W002,26-Oct-2025,02-Nov-2025,Road,3004,Delivered
SH10018,SO10018,W013,13-Jun-2025,22-Jun-2025,Road,7020,Delivered
SH10019,SO10019,W004,25-May-2025,27-May-2025,Road,632,In Transit
SH10020,SO10020,W011,01-Jul-2025,07-Jul-2025,Road,3488,Delivered
SH10021,SO10021,W017,28-Jul-2025,03-Aug-2025,Road,822,Delivered
SH10022,SO10022,W002,29-Jun-2025,07-Jul-2025,Road,2839,Delivered
SH10023,SO10023,W001,21-Mar-2025,27-Mar-2025,Sea,2668,Delivered
SH10024,SO10024,W003,20-Aug-2025,29-Aug-2025,Rail,7501,Delivered
SH10025,SO10025,W003,20-Nov-2025,24-Nov-2025,Road,5676,Delivered
SH10026,SO10026,W011,23-Aug-2025,29-Aug-2025,Road,3332,In Transit
SH10027,SO10027,W010,24-Jul-2025,29-Jul-2025,Road,1797,Delivered
SH10028,SO10028,W012,20-Jun-2025,25-Jun-2025,Road,4189,Delivered
SH10029,SO10029,W015,29-Apr-2025,04-May-2025,Road,7889,Delivered
SH10030,SO10030,W016,19-Apr-2025,28-Apr-2025,Rail,6715,Delivered
SH10031,SO10031,W002,18-Oct-2025,23-Oct-2025,Rail,7605,Delivered
SH10032,SO10032,W007,30-Aug-2025,08-Sep-2025,Road,7092,Delivered
SH10033,SO10033,W001,20-Apr-2025,25-Apr-2025,Road,5773,Delivered
SH10034,SO10034,W007,26-Sep-2025,03-Oct-2025,Rail,590,Delivered
SH10035,SO10035,W013,29-Apr-2025,08-May-2025,Road,5116,Delivered
SH10036,SO10036,W007,22-Apr-2025,26-Apr-2025,Rail,7809,Delivered
SH10037,SO10037,W012,01-Jul-2025,03-Jul-2025,Road,286,Delivered
SH10038,SO10038,W003,09-Feb-2025,10-Feb-2025,Sea,4395,Delivered
SH10039,SO10039,W018,04-Jun-2025,06-Jun-2025,Road,2647,Delivered
SH10040,SO10040,W016,30-May-2025,02-Jun-2025,Rail,1874,Delivered
SH10041,SO10041,W015,05-Jan-2025,10-Jan-2025,Road,517,Delivered
SH10042,SO10042,W007,30-Dec-2025,31-Dec-2025,Road,5612,Delivered
SH10043,SO10043,W018,05-Aug-2025,11-Aug-2025,Rail,4120,Delivered
SH10044,SO10044,W010,18-May-2025,20-May-2025,Rail,527,Delivered
SH10045,SO10045,W015,13-Feb-2025,20-Feb-2025,Road,5268,Delivered
SH10046,SO10046,W019,07-Jun-2025,11-Jun-2025,Road,3530,Delivered
SH10047,SO10047,W005,22-Feb-2025,28-Feb-2025,Rail,214,Delivered
SH10048,SO10048,W007,26-Dec-2025,29-Dec-2025,Air,4721,Delayed
SH10049,SO10049,W012,30-Mar-2025,04-Apr-2025,Rail,1099,Delivered
SH10050,SO10050,W005,14-Jun-2025,15-Jun-2025,Sea,7632,Delivered
SH10051,SO10051,W019,26-Aug-2025,27-Aug-2025,Road,4301,Delivered
SH10052,SO10052,W015,05-Sep-2025,12-Sep-2025,Rail,3205,Delivered
SH10053,SO10053,W020,06-Feb-2025,08-Feb-2025,Road,3758,Delivered
SH10054,SO10054,W013,21-Feb-2025,23-Feb-2025,Rail,3005,Delivered
SH10055,SO10055,W008,03-May-2025,10-May-2025,Road,665,Delivered
SH10056,SO10056,W002,07-Oct-2025,14-Oct-2025,Sea,1801,Delayed
SH10057,SO10057,W004,26-Mar-2025,04-Apr-2025,Road,7742,Delivered
SH10058,SO10058,W004,25-Jun-2025,29-Jun-2025,Road,3167,Delayed
SH10059,SO10059,W020,14-Mar-2025,15-Mar-2025,Sea,1231,Delivered
SH10060,SO10060,W003,07-May-2025,14-May-2025,Air,7105,Delivered
SH10061,SO10061,W019,12-Oct-2025,14-Oct-2025,Air,1021,Delivered
SH10062,SO10062,W017,21-Dec-2025,23-Dec-2025,Road,4001,Delivered
SH10063,SO10063,W012,28-Apr-2025,03-May-2025,Sea,6100,Delivered
SH10064,SO10064,W009,10-Jul-2025,13-Jul-2025,Road,517,In Transit
SH10065,SO10065,W015,22-Nov-2025,29-Nov-2025,Road,1360,Delivered
SH10066,SO10066,W003,28-Oct-2025,03-Nov-2025,Air,587,Delivered
SH10067,SO10067,W019,29-Jun-2025,07-Jul-2025,Road,6837,Cancelled
SH10068,SO10068,W013,21-Apr-2025,27-Apr-2025,Road,379,Cancelled
SH10069,SO10069,W008,23-May-2025,27-May-2025,Road,5468,Cancelled
SH10070,SO10070,W015,13-Feb-2025,15-Feb-2025,Rail,5061,In Transit
SH10071,SO10071,W006,13-Apr-2025,16-Apr-2025,Road,7871,Delivered
SH10072,SO10072,W003,21-Jul-2025,22-Jul-2025,Road,2612,Delivered
SH10073,SO10073,W012,08-Aug-2025,10-Aug-2025,Road,3689,Delivered
SH10074,SO10074,W009,01-Dec-2025,05-Dec-2025,Road,4344,Cancelled
SH10075,SO10075,W013,27-Jul-2025,02-Aug-2025,Rail,6176,Delivered
SH10076,SO10076,W019,25-Jun-2025,02-Jul-2025,Road,3862,Delivered
SH10077,SO10077,W001,09-May-2025,16-May-2025,Road,4040,Delivered
SH10078,SO10078,W003,11-Dec-2025,17-Dec-2025,Road,4780,In Transit
SH10079,SO10079,W017,15-Aug-2025,21-Aug-2025,Rail,2944,Delivered
SH10080,SO10080,W014,24-Jun-2025,29-Jun-2025,Road,3290,Delivered
SH10081,SO10081,W019,22-Aug-2025,26-Aug-2025,Road,7723,Delivered
SH10082,SO10082,W003,17-Aug-2025,18-Aug-2025,Road,6517,Delivered
SH10083,SO10083,W014,31-Jan-2025,04-Feb-2025,Road,479,Delivered
SH10084,SO10084,W011,12-Aug-2025,18-Aug-2025,Road,4280,Delivered
SH10085,SO10085,W003,27-Oct-2025,02-Nov-2025,Road,5001,Delivered
SH10086,SO10086,W008,16-Mar-2025,21-Mar-2025,Rail,890,Delivered
SH10087,SO10087,W011,13-Jan-2025,21-Jan-2025,Sea,2521,Delivered
SH10088,SO10088,W013,30-Nov-2025,01-Dec-2025,Rail,4035,In Transit
SH10089,SO10089,W013,30-Apr-2025,08-May-2025,Rail,7545,Delivered
SH10090,SO10090,W010,26-Mar-2025,04-Apr-2025,Air,5015,Delivered
SH10091,SO10091,W003,30-Dec-2025,02-Jan-2026,Road,4170,Delivered
SH10092,SO10092,W015,26-Feb-2025,06-Mar-2025,Road,2536,Delivered
SH10093,SO10093,W018,10-Apr-2025,19-Apr-2025,Road,6394,Delivered
SH10094,SO10094,W005,03-Mar-2025,06-Mar-2025,Road,5861,In Transit
SH10095,SO10095,W004,07-Mar-2025,15-Mar-2025,Sea,6596,Delivered
SH10096,SO10096,W006,20-Nov-2025,29-Nov-2025,Air,3973,Delivered
SH10097,SO10097,W003,01-Feb-2025,03-Feb-2025,Air,5924,Delivered
SH10098,SO10098,W001,03-Apr-2025,11-Apr-2025,Road,3124,Delivered
SH10099,SO10099,W013,17-Apr-2025,19-Apr-2025,Road,7447,Delivered
SH10100,SO10100,W002,30-Jun-2025,07-Jul-2025,Road,869,Delivered
SH10101,SO10101,W015,10-Jun-2025,15-Jun-2025,Rail,7278,Delivered
SH10102,SO10102,W003,16-Oct-2025,24-Oct-2025,Road,7627,Delivered
SH10103,SO10103,W012,11-Jan-2025,19-Jan-2025,Road,5542,Delivered
SH10104,SO10104,W010,21-Feb-2025,26-Feb-2025,Sea,5722,Delivered
SH10105,SO10105,W003,28-Jan-2025,31-Jan-2025,Rail,3010,Delivered
SH10106,SO10106,W001,21-Jun-2025,29-Jun-2025,Road,1537,Delivered
SH10107,SO10107,W010,13-Jan-2025,17-Jan-2025,Road,5027,Delivered
SH10108,SO10108,W020,02-May-2025,10-May-2025,Road,5914,Delivered
SH10109,SO10109,W001,25-Aug-2025,27-Aug-2025,Road,3063,Delivered
SH10110,SO10110,W015,07-Sep-2025,14-Sep-2025,Sea,4227,Delivered
SH10111,SO10111,W019,02-May-2025,07-May-2025,Rail,1180,Delivered
SH10112,SO10112,W014,22-Aug-2025,26-Aug-2025,Rail,879,Delivered
SH10113,SO10113,W001,28-Feb-2025,03-Mar-2025,Rail,5689,Delivered
SH10114,SO10114,W005,16-Mar-2025,19-Mar-2025,Road,7228,In Transit
SH10115,SO10115,W016,01-Nov-2025,06-Nov-2025,Road,619,Delivered
SH10116,SO10116,W016,19-Jun-2025,20-Jun-2025,Road,6989,Delivered
SH10117,SO10117,W004,30-Oct-2025,08-Nov-2025,Road,516,Delivered
SH10118,SO10118,W015,31-May-2025,07-Jun-2025,Rail,5754,Delivered
SH10119,SO10119,W018,22-Jan-2025,23-Jan-2025,Air,5676,Delivered
SH10120,SO10120,W008,05-Aug-2025,12-Aug-2025,Road,4100,Delivered
SH10121,SO10121,W003,20-Sep-2025,22-Sep-2025,Rail,6283,Delayed
SH10122,SO10122,W017,30-Jun-2025,06-Jul-2025,Sea,7382,Delivered
SH10123,SO10123,W013,27-Nov-2025,28-Nov-2025,Air,1747,In Transit
SH10124,SO10124,W018,10-Sep-2025,19-Sep-2025,Sea,6772,Delivered
SH10125,SO10125,W015,16-Mar-2025,18-Mar-2025,Road,4132,Delivered
SH10126,SO10126,W007,07-Jan-2025,16-Jan-2025,Road,1650,Delayed
SH10127,SO10127,W001,07-May-2025,12-May-2025,Air,6877,Delivered
SH10128,SO10128,W014,19-Aug-2025,23-Aug-2025,Road,5003,Delivered
SH10129,SO10129,W017,25-Apr-2025,02-May-2025,Road,3389,Delivered
SH10130,SO10130,W012,25-Sep-2025,02-Oct-2025,Rail,5557,Delayed
SH10131,SO10131,W012,04-May-2025,13-May-2025,Rail,298,Delivered
SH10132,SO10132,W011,07-Apr-2025,14-Apr-2025,Road,7186,Delivered
SH10133,SO10133,W005,30-Aug-2025,01-Sep-2025,Road,3922,Delivered
SH10134,SO10134,W006,22-Jan-2025,26-Jan-2025,Road,515,Delivered
SH10135,SO10135,W007,21-Dec-2025,25-Dec-2025,Road,4399,Delivered
SH10136,SO10136,W005,29-May-2025,05-Jun-2025,Air,5072,Delivered
SH10137,SO10137,W008,04-Mar-2025,06-Mar-2025,Air,4087,Delivered
SH10138,SO10138,W008,03-Feb-2025,10-Feb-2025,Road,5393,Delivered
SH10139,SO10139,W004,28-Jan-2025,03-Feb-2025,Air,1399,Delivered
SH10140,SO10140,W010,02-Jun-2025,06-Jun-2025,Road,3925,Delivered
SH10141,SO10141,W019,31-Dec-2025,08-Jan-2026,Rail,7431,Delivered
SH10142,SO10142,W017,12-Feb-2025,18-Feb-2025,Air,5142,Delivered
SH10143,SO10143,W011,15-Nov-2025,24-Nov-2025,Road,5672,Delivered
SH10144,SO10144,W005,04-Jan-2025,13-Jan-2025,Road,5955,Delayed
SH10145,SO10145,W004,12-Sep-2025,19-Sep-2025,Sea,318,In Transit
SH10146,SO10146,W007,10-Jul-2025,17-Jul-2025,Rail,7133,Delivered
SH10147,SO10147,W010,23-Feb-2025,03-Mar-2025,Road,6268,Delivered
SH10148,SO10148,W018,24-Feb-2025,05-Mar-2025,Road,5059,In Transit
SH10149,SO10149,W003,07-Apr-2025,08-Apr-2025,Road,6375,Delivered
SH10150,SO10150,W018,10-Nov-2025,17-Nov-2025,Air,3926,Delivered
SH10151,SO10151,W017,05-Apr-2025,12-Apr-2025,Road,2450,Delivered
SH10152,SO10152,W013,23-Nov-2025,30-Nov-2025,Rail,7898,Delivered
SH10153,SO10153,W014,09-Apr-2025,15-Apr-2025,Road,3275,Delivered
SH10154,SO10154,W010,18-Oct-2025,24-Oct-2025,Road,218,Delivered
SH10155,SO10155,W017,01-Aug-2025,04-Aug-2025,Road,4731,Delivered
