Inventory_ID,Product_ID,Warehouse_ID,Stock_Date,Opening_Stock,Received_Qty,Sold_Qty,Closing_Stock,Reorder_Level,Safety_Stock
INV000001,P1945,W019,26-Aug-2025,1148,37,551,634,150,43
INV000002,P1626,W020,19-May-2025,272,694,326,640,206,58
INV000003,P1685,W002,07-Jan-2025,1308,412,248,1472,252,78
INV000004,P1898,W016,04-Jul-2025,19,550,73,496,80,35
INV000005,P1579,W002,27-Feb-2025,232,276,431,77,142,49
INV000006,P1776,W007,15-Oct-2025,1445,856,934,1367,246,129
INV000007,P1834,W001,21-Jan-2025,1750,58,983,825,43,20
INV000008,P1226,W019,24-May-2025,12,840,144,708,283,82
INV000009,P1056,W018,10-Jul-2025,1552,717,863,1406,298,87
INV000010,P1301,W010,09-Jul-2025,445,624,664,405,84,39
INV000011,P1286,W008,30-Jul-2025,830,516,130,1216,280,96
INV000012,P1874,W010,28-May-2025,413,165,43,535,240,67
INV000013,P1913,W001,30-Mar-2025,1123,968,1112,979,126,49
INV000014,P1006,W018,03-May-2025,1093,947,1008,1032,255,133
INV000015,P1500,W015,03-Apr-2025,63,579,451,191,222,109
INV000016,P1822,W001,07-Jan-2025,790,947,1115,622,141,33
INV000017,P1132,W010,07-Feb-2025,690,203,611,282,205,55
INV000018,P1798,W015,07-Jan-2025,304,172,83,393,190,66
INV000019,P1120,W002,21-Mar-2025,1579,93,70,1602,163,70
INV000020,P1468,W009,05-Oct-2025,1018,757,711,1064,140,83
INV000021,P1817,W015,06-May-2025,1573,476,400,1649,186,61
INV000022,P1304,W016,02-Sep-2025,125,571,198,498,22,11
INV000023,P1342,W005,29-Sep-2025,1741,675,1019,1397,194,101
INV000024,P1279,W007,17-May-2025,93,188,281,0,115,52
INV000025,P1720,W005,25-Oct-2025,1209,3,510,702,71,38
INV000026,P1255,W004,28-Jan-2025,16,552,568,0,123,36
INV000027,P1991,W011,02-Mar-2025,1117,729,415,1431,140,67
INV000028,P1446,W013,02-May-2025,1458,212,165,1505,284,57
INV000029,P1479,W007,14-Apr-2025,776,826,165,1437,186,71
INV000030,P1505,W013,21-Dec-2025,497,670,1074,93,254,50
INV000031,P1583,W017,17-Dec-2025,1499,624,809,1314,200,116
INV000032,P1554,W008,07-Feb-2025,1355,273,525,1103,261,54
INV000033,P1510,W012,02-Jul-2025,1388,305,238,1455,242,118
INV000034,P1996,W008,11-Aug-2025,243,948,610,581,161,63
INV000035,P1808,W009,14-Jun-2025,1451,940,1192,1199,120,70
INV000036,P1793,W019,04-Apr-2025,1371,373,279,1465,123,43
INV000037,P1701,W003,21-Aug-2025,1536,507,914,1129,208,109
INV000038,P1623,W004,18-Mar-2025,642,379,816,205,100,31
INV000039,P1342,W009,22-Jul-2025,468,726,1028,166,262,149
INV000040,P1989,W014,15-Aug-2025,1684,804,1142,1346,82,26
INV000041,P1467,W007,04-May-2025,765,178,432,511,30,11
INV000042,P1216,W008,31-Dec-2025,1722,343,657,1408,249,84
INV000043,P1846,W001,19-Sep-2025,1751,936,1038,1649,168,51
INV000044,P1161,W020,25-Jul-2025,200,378,193,385,34,9
INV000045,P1858,W006,13-Dec-2025,1660,579,442,1797,116,47
INV000046,P1613,W020,23-Feb-2025,1009,425,319,1115,203,46
INV000047,P1115,W013,27-Nov-2025,233,851,527,557,71,35
INV000048,P1044,W016,16-Jul-2025,1851,411,622,1640,121,49
INV000049,P1445,W006,02-Jul-2025,222,26,248,0,195,46
INV000050,P1036,W011,29-Mar-2025,1888,546,198,2236,22,5
INV000051,P1142,W004,24-Jan-2025,1076,824,172,1728,154,87
INV000052,P1515,W010,27-Mar-2025,1612,429,86,1955,156,61
INV000053,P1971,W019,02-Sep-2025,11,407,277,141,190,82
INV000054,P1467,W003,01-Dec-2025,618,660,719,559,88,31
INV000055,P1809,W005,04-Jan-2025,1948,76,207,1817,228,136
INV000056,P1918,W012,06-Nov-2025,1941,145,379,1707,41,15
INV000057,P1824,W016,09-Jul-2025,1018,612,935,695,166,74
INV000058,P1630,W017,24-Aug-2025,1396,152,1010,538,156,51
INV000059,P1442,W001,27-Aug-2025,362,642,1004,0,228,48
INV000060,P1515,W016,15-Jul-2025,973,121,353,741,167,71
INV000061,P1267,W006,23-Apr-2025,982,45,792,235,293,140
INV000062,P1497,W008,18-Mar-2025,1216,966,929,1253,83,47
INV000063,P1380,W009,10-Mar-2025,688,829,1187,330,267,120
INV000064,P1248,W004,05-May-2025,1692,264,900,1056,239,75
INV000065,P1994,W005,15-Jun-2025,201,487,81,607,119,53
INV000066,P1012,W010,23-Jan-2025,124,766,862,28,39,10
INV000067,P1098,W011,28-Nov-2025,1405,771,9,2167,214,58
INV000068,P1193,W001,14-Feb-2025,168,469,466,171,277,75
INV000069,P1970,W015,05-Jul-2025,843,685,736,792,282,152
INV000070,P1693,W012,03-Mar-2025,1664,876,215,2325,209,96
INV000071,P1882,W007,09-Oct-2025,1375,77,402,1050,181,51
INV000072,P1201,W015,09-Mar-2025,1260,638,899,999,116,58
INV000073,P1721,W007,22-Jul-2025,206,227,230,203,187,73
INV000074,P1370,W001,27-Dec-2025,1128,324,1195,257,233,139
