Purchase_ID,Supplier_ID,Product_ID,Order_Date,Received_Date,Quantity,Purchase_Cost,Status
PO10001,S079,P1355,30-Jan-2025,17-Feb-2025,496,21972800,Pending
PO10002,S047,P1713,27-Aug-2025,31-Aug-2025,1218,41310906,Completed
PO10003,S076,P1208,03-Sep-2025,20-Sep-2025,1591,72648242,Completed
PO10004,S052,P1380,05-Apr-2025,10-Apr-2025,1385,24007590,Completed
PO10005,S001,P1719,17-Jul-2025,22-Jul-2025,2031,21315345,Completed
PO10006,S044,P1704,06-Jul-2025,30-Jul-2025,3603,25257030,Completed
PO10007,S067,P1259,09-Oct-2025,26-Oct-2025,4824,212236704,Partially Received
PO10008,S080,P1512,03-Mar-2025,19-Mar-2025,4762,229761738,Completed
PO10009,S082,P1394,20-Jun-2025,11-Jul-2025,2157,71875554,Completed
PO10010,S100,P1602,07-Mar-2025,17-Mar-2025,376,21263928,Completed
PO10011,S065,P1420,11-Mar-2025,28-Mar-2025,152,876432,Completed
PO10012,S001,P1170,23-Jul-2025,15-Aug-2025,3075,140432175,Completed
PO10013,S096,P1006,30-Aug-2025,09-Sep-2025,937,13801073,Completed
PO10014,S017,P1762,22-Jul-2025,01-Aug-2025,942,16240080,Completed
PO10015,S050,P1264,17-Jan-2025,31-Jan-2025,410,22169110,Completed
PO10016,S012,P1753,02-Feb-2025,05-Feb-2025,583,21408926,Completed
PO10017,S062,P1097,23-Jul-2025,15-Aug-2025,2836,115870452,Partially Received
PO10018,S055,P1932,02-Sep-2025,23-Sep-2025,782,37216162,Pending
PO10019,S069,P1919,30-Oct-2025,10-Nov-2025,1900,9080100,Completed
PO10020,S083,P1238,05-Oct-2025,23-Oct-2025,4513,73440049,Completed
PO10021,S079,P1217,29-Aug-2025,12-Sep-2025,4993,131650431,Completed
PO10022,S043,P1800,13-Apr-2025,30-Apr-2025,901,35044395,Completed
PO10023,S029,P1163,16-Mar-2025,22-Mar-2025,2106,28492074,Completed
PO10024,S034,P1601,11-Sep-2025,30-Sep-2025,1641,13423380,Pending
PO10025,S066,P1994,25-May-2025,30-May-2025,2600,111896200,Completed
PO10026,S021,P1494,27-Sep-2025,09-Oct-2025,2409,50020476,Completed
PO10027,S034,P1912,08-Jun-2025,24-Jun-2025,106,4976382,Completed
PO10028,S025,P1612,18-May-2025,28-May-2025,3824,11047536,Pending
PO10029,S036,P1417,23-Apr-2025,13-May-2025,3311,42145719,Completed
PO10030,S016,P1366,09-Oct-2025,14-Oct-2025,2202,64994232,Completed
PO10031,S037,P1490,23-Sep-2025,03-Oct-2025,3675,25482450,Pending
PO10032,S033,P1131,12-Jan-2025,02-Feb-2025,1798,7745784,Partially Received
PO10033,S055,P1789,25-Mar-2025,15-Apr-2025,4998,74305266,Pending
PO10034,S053,P1659,12-Jun-2025,03-Jul-2025,3162,109939578,Completed
PO10035,S013,P1732,06-Mar-2025,28-Mar-2025,2362,46890424,Completed
PO10036,S023,P1587,19-Aug-2025,30-Aug-2025,1158,37931448,Completed
PO10037,S083,P1238,21-Oct-2025,13-Nov-2025,1564,25450972,Completed
PO10038,S054,P1576,31-Oct-2025,04-Nov-2025,4936,124841312,Completed
PO10039,S092,P1920,21-Oct-2025,28-Oct-2025,704,33454784,Completed
PO10040,S096,P1006,20-Jul-2025,08-Aug-2025,1969,29001401,Completed
PO10041,S061,P1981,18-Jul-2025,26-Jul-2025,492,8697084,Partially Received
PO10042,S062,P1821,31-Aug-2025,10-Sep-2025,2561,121253106,Pending
PO10043,S036,P1596,24-Aug-2025,14-Sep-2025,4387,130921241,Completed
PO10044,S079,P1217,02-Feb-2025,24-Feb-2025,4021,106021707,Completed
PO10045,S064,P1613,18-Apr-2025,11-May-2025,2827,156434872,Pending
PO10046,S022,P1040,30-Apr-2025,06-May-2025,1950,27530100,Completed
PO10047,S021,P1175,12-Jan-2025,04-Feb-2025,502,14004294,Completed
PO10048,S040,P1324,14-Dec-2025,02-Jan-2026,1313,75974119,Completed
PO10049,S091,P1619,08-May-2025,18-May-2025,4072,78483728,Partially Received
PO10050,S013,P1946,22-Feb-2025,26-Feb-2025,667,22119054,Completed
PO10051,S008,P1166,30-Oct-2025,16-Nov-2025,4838,191463850,Completed
PO10052,S008,P1697,14-Oct-2025,26-Oct-2025,918,48613608,Completed
PO10053,S048,P1133,01-Mar-2025,09-Mar-2025,2421,132765219,Completed
PO10054,S094,P1949,08-Mar-2025,30-Mar-2025,2167,48829011,Completed
PO10055,S025,P1688,22-Apr-2025,29-Apr-2025,2565,16044075,Completed
PO10056,S007,P1974,01-Aug-2025,11-Aug-2025,2020,82009980,Completed
PO10057,S083,P1668,24-Feb-2025,20-Mar-2025,2122,30976956,Completed
PO10058,S036,P1596,08-Feb-2025,22-Feb-2025,2221,66281303,Completed
PO10059,S066,P1879,12-Jun-2025,03-Jul-2025,2191,78225273,Completed
PO10060,S008,P1697,24-Apr-2025,09-May-2025,3666,194136696,Partially Received
PO10061,S083,P1058,26-Sep-2025,17-Oct-2025,1585,57319940,Pending
PO10062,S074,P1586,29-Jan-2025,10-Feb-2025,1380,47971560,Completed
PO10063,S075,P1358,19-Nov-2025,09-Dec-2025,2130,662430,Completed
PO10064,S094,P1197,08-Jan-2025,14-Jan-2025,2627,97598304,Completed
PO10065,S002,P1142,18-Apr-2025,10-May-2025,226,231424,Completed
PO10066,S081,P1215,08-Jan-2025,17-Jan-2025,3994,170312148,Cancelled
PO10067,S034,P1601,14-Jun-2025,28-Jun-2025,879,7190220,Partially Received
PO10068,S079,P1492,01-Apr-2025,16-Apr-2025,2771,92537545,Partially Received
PO10069,S071,P1463,06-May-2025,14-May-2025,3570,51108120,Completed
PO10070,S061,P1849,11-Oct-2025,02-Nov-2025,4385,91137840,Completed
PO10071,S068,P1403,08-Aug-2025,16-Aug-2025,307,5715112,Completed
PO10072,S100,P1113,27-Jul-2025,17-Aug-2025,1134,31414068,Completed
PO10073,S026,P1945,29-Aug-2025,18-Sep-2025,1351,64337322,Completed
PO10074,S092,P1877,21-Jan-2025,01-Feb-2025,2663,70457654,Completed
PO10075,S050,P1330,27-Sep-2025,09-Oct-2025,2447,88258396,Completed
PO10076,S057,P1866,17-Jan-2025,07-Feb-2025,69,4076313,Completed
PO10077,S072,P1009,11-Mar-2025,20-Mar-2025,646,2735810,Pending
PO10078,S035,P1360,14-Feb-2025,10-Mar-2025,3190,97161020,Completed
PO10079,S055,P1770,25-Apr-2025,06-May-2025,2553,31146600,Completed
PO10080,S063,P1594,11-Sep-2025,29-Sep-2025,4871,221089819,Completed
PO10081,S012,P1026,05-Jan-2025,22-Jan-2025,2575,117770200,Completed
PO10082,S095,P1776,21-Sep-2025,15-Oct-2025,1919,108757406,Completed
PO10083,S099,P1388,17-Jan-2025,27-Jan-2025,4763,200093630,Pending
PO10084,S076,P1687,01-Jul-2025,15-Jul-2025,4707,54379971,Completed
PO10085,S051,P1080,18-May-2025,06-Jun-2025,4572,174421800,Partially Received
PO10086,S052,P1442,09-Dec-2025,31-Dec-2025,68,1121388,Cancelled
PO10087,S091,P1240,09-Oct-2025,31-Oct-2025,1394,22869964,Completed
PO10088,S066,P1522,08-Jan-2025,31-Jan-2025,3339,16043895,Completed
PO10089,S061,P1981,12-May-2025,26-May-2025,499,8820823,Pending
PO10090,S003,P1774,08-Aug-2025,20-Aug-2025,1141,37608501,Completed
PO10091,S066,P1954,09-Jul-2025,25-Jul-2025,112,5556432,Pending
PO10092,S036,P1245,25-Jan-2025,15-Feb-2025,3687,177558546,Completed
PO10093,S084,P1203,31-May-2025,19-Jun-2025,4905,65349315,Completed
PO10094,S061,P1645,22-Sep-2025,30-Sep-2025,737,35269872,Completed
