Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Sales_Amount,Discount,Profit
SO10001,C25296,P1117,23-Jul-2025,13,829140,92004,78894
SO10002,C38723,P1615,29-Jan-2025,9,153990,10953,31500
SO10003,C28981,P1262,29-Jul-2025,10,320000,45433,18207
SO10004,C10159,P1330,29-Apr-2025,15,723450,4064,178366
SO10005,C34028,P1029,23-Sep-2025,8,355600,34355,67461
SO10006,C28707,P1232,06-Feb-2025,11,593890,50500,125775
SO10007,C27630,P1770,17-Apr-2025,18,302400,24660,58140
SO10008,C26992,P1259,06-Dec-2025,17,1068280,152861,167487
SO10009,C29170,P1875,28-Jul-2025,5,176700,26206,17359
SO10010,C13665,P1809,15-Feb-2025,10,43500,1838,11252
SO10011,C33810,P1941,09-Mar-2025,19,1081100,65528,85389
SO10012,C22756,P1938,03-Apr-2025,18,410040,15399,58833
SO10013,C27474,P1209,02-Mar-2025,6,134340,7684,21842
SO10014,C26718,P1956,04-Oct-2025,9,613800,34961,87916
SO10015,C10762,P1737,24-Mar-2025,5,151300,16465,15250
SO10016,C29785,P1565,12-Oct-2025,15,37500,2834,3031
SO10017,C30804,P1325,23-Oct-2025,11,851400,119407,109096
SO10018,C30887,P1284,12-Jun-2025,8,101520,778,17366
SO10019,C19586,P1198,23-May-2025,17,306680,4707,38507
SO10020,C15140,P1778,30-Jun-2025,18,668160,22127,171121
SO10021,C37243,P1537,25-Jul-2025,1,25760,884,4169
SO10022,C22819,P1200,26-Jun-2025,3,39270,2097,6462
SO10023,C30800,P1896,20-Mar-2025,19,1105800,99607,143517
SO10024,C14539,P1919,19-Aug-2025,4,22000,3124,-240
SO10025,C31788,P1651,19-Nov-2025,8,118160,16062,5634
SO10026,C35337,P1078,21-Aug-2025,4,54480,2357,7727
SO10027,C29551,P1984,23-Jul-2025,17,4080,183,531
SO10028,C19016,P1104,17-Jun-2025,13,93210,5454,11095
SO10029,C36936,P1362,26-Apr-2025,9,586170,42398,37756
SO10030,C18570,P1223,17-Apr-2025,13,746850,81169,134254
SO10031,C28788,P1380,15-Oct-2025,6,132660,2647,26009
SO10032,C19825,P1472,29-Aug-2025,4,38160,962,5214
SO10033,C38493,P1153,17-Apr-2025,17,834190,115066,47879
SO10034,C22363,P1081,23-Sep-2025,3,223020,20521,40862
SO10035,C19044,P1006,28-Apr-2025,6,116640,16371,11895
SO10036,C11358,P1232,21-Apr-2025,4,215960,28530,35570
SO10037,C21944,P1624,30-Jun-2025,18,1280700,32058,236736
SO10038,C29963,P1945,07-Feb-2025,9,506970,8291,70081
SO10039,C26267,P1860,02-Jun-2025,4,270680,32309,41151
SO10040,C14077,P1041,29-May-2025,4,135640,19487,20401
SO10041,C19834,P1765,02-Jan-2025,18,707220,105303,80241
SO10042,C27006,P1020,29-Dec-2025,5,310850,31110,54430
SO10043,C23231,P1533,04-Aug-2025,15,603750,2220,151725
SO10044,C11485,P1695,15-May-2025,6,61260,2277,9357
SO10045,C14427,P1208,10-Feb-2025,10,616900,30062,130218
SO10046,C30993,P1925,06-Jun-2025,18,500760,12590,110962
SO10047,C12205,P1498,19-Feb-2025,7,475020,60019,45604
SO10048,C18596,P1355,23-Dec-2025,7,412790,54864,47826
SO10049,C33560,P1646,28-Mar-2025,9,468900,47027,39598
SO10050,C39481,P1771,11-Jun-2025,6,293460,38432,52564
SO10051,C31916,P1615,23-Aug-2025,11,188210,17944,33943
SO10052,C11678,P1081,03-Sep-2025,11,817740,31534,193537
SO10053,C19644,P1738,04-Feb-2025,17,195330,7005,49843
SO10054,C39917,P1498,19-Feb-2025,2,135720,18095,12083
SO10055,C10290,P1913,30-Apr-2025,2,48780,7291,5949
SO10056,C32992,P1754,06-Oct-2025,11,9460,214,2019
SO10057,C17519,P1783,24-Mar-2025,11,350240,35764,52093
SO10058,C20504,P1359,24-Jun-2025,8,24800,3464,3104
SO10059,C15604,P1686,13-Mar-2025,13,171860,17401,30985
SO10060,C12986,P1692,05-May-2025,17,937210,4089,247528
SO10061,C20769,P1223,11-Oct-2025,1,57450,55,16516
SO10062,C18020,P1381,20-Dec-2025,8,190960,25246,25842
SO10063,C10561,P1241,25-Apr-2025,16,758560,48771,84589
SO10064,C14341,P1155,09-Jul-2025,3,1770,85,260
SO10065,C26741,P1557,20-Nov-2025,7,74270,1519,12782
SO10066,C12128,P1866,26-Oct-2025,3,210090,4760,28099
SO10067,C16920,P1540,27-Jun-2025,12,141600,16224,23940
SO10068,C10238,P1259,19-Apr-2025,19,1193960,59242,298794
SO10069,C25636,P1541,20-May-2025,6,433320,14318,81202
SO10070,C26328,P1879,11-Feb-2025,9,455940,58831,75782
SO10071,C37730,P1722,11-Apr-2025,5,110350,8989,5776
SO10072,C14737,P1699,18-Jul-2025,17,404770,17645,50559
SO10073,C13428,P1948,06-Aug-2025,6,191400,1187,42619
SO10074,C20300,P1781,30-Nov-2025,14,850920,123420,-11014
SO10075,C21822,P1893,25-Jul-2025,7,11760,1576,1154
SO10076,C37832,P1113,24-Jun-2025,9,332730,18084,65328
SO10077,C22037,P1836,07-May-2025,14,774200,92787,20375
SO10078,C19376,P1246,09-Dec-2025,8,217440,20651,37525
SO10079,C32276,P1695,13-Aug-2025,2,20420,342,3536
SO10080,C12943,P1787,21-Jun-2025,6,332820,777,98127
SO10081,C16457,P2000,20-Aug-2025,5,354000,1708,95997
SO10082,C39720,P1595,16-Aug-2025,11,767690,89462,46784
SO10083,C23708,P1783,30-Jan-2025,19,604960,77540,74213
SO10084,C15901,P1552,11-Aug-2025,17,1129650,157891,135410
SO10085,C37684,P1696,26-Oct-2025,11,508420,47505,71537
SO10086,C26285,P1272,14-Mar-2025,7,459900,11671,128518
SO10087,C32643,P1798,11-Jan-2025,3,165300,16022,24682
SO10088,C15714,P1263,27-Nov-2025,16,264960,26579,13133
SO10089,C21603,P1294,29-Apr-2025,8,422160,2444,66772
SO10090,C27858,P1284,23-Mar-2025,19,241110,8245,34847
SO10091,C16493,P1002,29-Dec-2025,7,460180,3937,107916
SO10092,C38075,P1642,23-Feb-2025,7,7280,876,825
SO10093,C31712,P1823,07-Apr-2025,19,1518860,17982,363614
SO10094,C18075,P1919,02-Mar-2025,7,38500,5632,-585
SO10095,C15207,P1245,06-Mar-2025,7,396760,15956,43698
SO10096,C21843,P1151,19-Nov-2025,11,10010,1152,784
SO10097,C21678,P1314,31-Jan-2025,1,4980,724,-4
SO10098,C36237,P1712,31-Mar-2025,8,215280,13305,30687
SO10099,C17760,P1657,14-Apr-2025,11,833140,73684,173717
SO10100,C21520,P1917,29-Jun-2025,19,47120,29,11067
SO10101,C35178,P1526,07-Jun-2025,16,99840,4294,25898
SO10102,C14118,P1204,15-Oct-2025,5,79750,4670,16255
SO10103,C18264,P1883,09-Jan-2025,10,556500,22372,77048
